locus_tag,product,protein_id
BHE81_RS12350,hypothetical protein,WP_149888806.1
BHE81_RS29025,HGGxSTG domain-containing protein,WP_048290035.1
BHE81_RS12360,tape measure protein,WP_149888807.1
BHE81_RS12365,hypothetical protein,WP_029497059.1
BHE81_RS12370,superinfection immunity protein,WP_162833786.1
BHE81_RS12375,PerC family transcriptional regulator,
BHE81_RS12385,hypothetical protein,WP_032743370.1
BHE81_RS12390,YoaK family small membrane protein,WP_032416298.1
BHE81_RS12395,XRE family transcriptional regulator,WP_032416300.1
BHE81_RS12400,DUF4411 family protein,WP_032416302.1
BHE81_RS12405,helix-turn-helix domain-containing protein,WP_038423068.1
BHE81_RS12410,single-stranded DNA-binding protein,WP_032743373.1
BHE81_RS12415,DUF927 domain-containing protein,
BHE81_RS12420,hypothetical protein,WP_004177030.1
BHE81_RS12425,hypothetical protein,WP_004202353.1
BHE81_RS12430,hypothetical protein,WP_048289954.1
BHE81_RS28730,hypothetical protein,WP_022064556.1
BHE81_RS12435,host cell division inhibitor Icd-like protein,WP_190295856.1
BHE81_RS12440,DUF4222 domain-containing protein,WP_038423062.1
BHE81_RS12445,Bro-N domain-containing protein,WP_038423061.1
BHE81_RS12450,hypothetical protein,WP_038423060.1
BHE81_RS12455,helix-turn-helix transcriptional regulator,WP_071889574.1
BHE81_RS12460,hypothetical protein,WP_032416308.1
BHE81_RS12465,tyrosine-type recombinase/integrase,WP_038423059.1
BHE81_RS12470,ribosome biogenesis GTPase Der,WP_004144309.1
BHE81_RS12475,outer membrane protein assembly factor BamB,WP_002913889.1
BHE81_RS12480,YfgM family protein,WP_002913890.1
BHE81_RS12485,histidine--tRNA ligase,WP_004149335.1
BHE81_RS12490,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,WP_002913892.1
BHE81_RS12495,cytoskeleton protein RodZ,WP_004149336.1
BHE81_RS12500,bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN,WP_002913894.1
BHE81_RS12510,nucleoside-diphosphate kinase,WP_004144312.1
BHE81_RS28735,penicillin-binding protein 1C,
BHE81_RS12515,peptidoglycan glycosyltransferase PbpC,WP_228268712.1
BHE81_RS28740,hypothetical protein,WP_228268727.1
BHE81_RS12520,alpha-2-macroglobulin family protein,WP_023342654.1
BHE81_RS12525,3-mercaptopyruvate sulfurtransferase,WP_002913950.1
BHE81_RS12530,hypothetical protein,WP_004174837.1
BHE81_RS12535,enhanced serine sensitivity protein SseB,WP_002913952.1
BHE81_RS12540,aminopeptidase PepB,WP_004185110.1
BHE81_RS12545,Fe-S cluster assembly protein IscX,WP_002913954.1
BHE81_RS12550,ISC system 2Fe-2S type ferredoxin,WP_002913956.1
BHE81_RS12555,Fe-S protein assembly chaperone HscA,WP_023342653.1
BHE81_RS12560,co-chaperone HscB,WP_023342652.1
BHE81_RS12565,iron-sulfur cluster assembly protein IscA,WP_002913979.1
BHE81_RS12570,Fe-S cluster assembly scaffold IscU,WP_002913991.1
BHE81_RS12575,cysteine desulfurase,WP_002913992.1
BHE81_RS12580,Fe-S cluster assembly transcriptional regulator IscR,WP_002913993.1
BHE81_RS12585,tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ,WP_004185116.1
BHE81_RS12590,inositol-1-monophosphatase,WP_002913995.1
BHE81_RS12595,hypothetical protein,WP_021440564.1
BHE81_RS12600,nickel/cobalt transporter,WP_021440565.1
BHE81_RS12605,DUF1007 family protein,WP_023301580.1
BHE81_RS12610,stationary phase inducible protein CsiE,WP_002914002.1
BHE81_RS12615,3-phenylpropionate MFS transporter,WP_023301579.1
BHE81_RS12620,aldose 1-epimerase,WP_023301578.1
BHE81_RS12625,sugar porter family MFS transporter,WP_002914018.1
BHE81_RS12630,DUF5107 domain-containing protein,WP_110246591.1
BHE81_RS12635,ROK family transcriptional regulator,WP_004174823.1
BHE81_RS12640,DoxX family protein,WP_020801883.1
BHE81_RS12645,serine hydroxymethyltransferase,WP_002914027.1
BHE81_RS12650,NO-inducible flavohemoprotein,WP_004185137.1
BHE81_RS12655,nitrogen regulatory protein P-II,WP_002914032.1
BHE81_RS12660,two-component system response regulator GlrR,WP_014907106.1
BHE81_RS12665,two-component system QseEF-associated lipoprotein QseG,WP_002914033.1
BHE81_RS12670,sensor histidine kinase,WP_004174816.1
BHE81_RS12680,phosphoribosylformylglycinamidine synthase,WP_023301576.1
BHE81_RS12685,membrane-bound lytic murein transglycosylase MltF,WP_004144346.1
BHE81_RS12690,tRNA adenosine(34) deaminase TadA,WP_023342648.1
BHE81_RS12695,phosphatidylglycerophosphatase C,WP_002914050.1
BHE81_RS12700,MurR/RpiR family transcriptional regulator,WP_004144349.1
BHE81_RS12705,YfhL family 4Fe-4S dicluster ferredoxin,WP_004144350.1
BHE81_RS12710,holo-ACP synthase,WP_004144351.1
BHE81_RS12715,pyridoxine 5'-phosphate synthase,WP_004144352.1
BHE81_RS12720,DNA repair protein RecO,WP_002914062.1
BHE81_RS12725,GTPase Era,WP_002914063.1
BHE81_RS12730,ribonuclease III,WP_002914065.1
BHE81_RS12735,signal peptidase I,WP_002914067.1
BHE81_RS12740,translation elongation factor 4,WP_002914069.1
BHE81_RS12745,SoxR-reducing system protein RseC,WP_004144354.1
BHE81_RS12750,sigma-E factor regulatory protein RseB,WP_002914070.1
BHE81_RS12755,anti-sigma-E factor RseA,WP_002914072.1
BHE81_RS12760,RNA polymerase sigma factor RpoE,WP_002914074.1
BHE81_RS29135,rpoE leader peptide RseD,WP_121980491.1
BHE81_RS12770,L-aspartate oxidase,WP_004144357.1
BHE81_RS12775,tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase TrmN,WP_002914079.1
BHE81_RS12780,ATP-dependent RNA helicase SrmB,WP_002914082.1
BHE81_RS12785,autonomous glycyl radical cofactor GrcA,WP_002914084.1
BHE81_RS12790,uracil-DNA glycosylase,WP_002914088.1
BHE81_RS12795,tRNA/rRNA methyltransferase,WP_002914089.1
BHE81_RS12800,thioredoxin TrxC,WP_002914091.1
BHE81_RS12805,tRNA-uridine aminocarboxypropyltransferase,WP_002914092.1
BHE81_RS12810,bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase,WP_004149373.1
BHE81_RS12815,CDP-diacylglycerol--serine O-phosphatidyltransferase,WP_002914094.1
BHE81_RS12820,YfiM family lipoprotein,WP_004888435.1
BHE81_RS12825,MFS transporter,WP_004144368.1
BHE81_RS12850,ATP-dependent chaperone ClpB,WP_004150973.1
BHE81_RS12855,purine nucleoside phosphorylase YfiH,WP_023301575.1
BHE81_RS12860,23S rRNA pseudouridine(1911/1915/1917) synthase RluD,WP_002914110.1
BHE81_RS12865,outer membrane protein assembly factor BamD,WP_004145664.1
BHE81_RS12870,ribosome-associated translation inhibitor RaiA,WP_002914111.1
BHE81_RS12875,pheA operon leader peptide PheL,WP_100250063.1
BHE81_RS12880,bifunctional chorismate mutase/prephenate dehydratase,WP_004150975.1
BHE81_RS12885,SMP-30/gluconolactonase/LRE family protein,WP_023342647.1
BHE81_RS12890,bifunctional chorismate mutase/prephenate dehydrogenase,WP_002914113.1
BHE81_RS12895,3-deoxy-7-phosphoheptulonate synthase AroF,WP_002914114.1
BHE81_RS12900,YfiR family protein,WP_004174804.1
BHE81_RS12905,diguanylate cyclase DgcN,WP_004180950.1
BHE81_RS12910,OmpA family protein,WP_004145671.1
BHE81_RS12915,PepSY-associated TM helix domain-containing protein,WP_023342645.1
BHE81_RS12920,DUF2946 domain-containing protein,WP_023342644.1
BHE81_RS12925,50S ribosomal protein L19,WP_002914145.1
BHE81_RS12930,tRNA (guanosine(37)-N1)-methyltransferase TrmD,WP_002914147.1
BHE81_RS12935,ribosome maturation factor RimM,WP_004150977.1
BHE81_RS12940,30S ribosomal protein S16,WP_002914149.1
BHE81_RS12945,signal recognition particle protein,WP_002914152.1
BHE81_RS12950,cytochrome C assembly family protein,WP_002914153.1
BHE81_RS12955,HlyC/CorC family transporter,WP_004149392.1
BHE81_RS12960,nucleotide exchange factor GrpE,WP_002914155.1
BHE81_RS12965,NAD(+) kinase,WP_023342643.1
BHE81_RS12970,DNA repair protein RecN,WP_004890335.1
BHE81_RS12975,outer membrane protein assembly factor BamE,WP_002914160.1
BHE81_RS12980,RnfH family protein,WP_023342642.1
BHE81_RS12985,type II toxin-antitoxin system RatA family toxin,WP_004174798.1
BHE81_RS12990,SsrA-binding protein SmpB,WP_002914164.1
BHE81_RS13005,integrase domain-containing protein,WP_077948849.1
BHE81_RS13010,UvrD-helicase domain-containing protein,WP_058661550.1
BHE81_RS13015,ATP-dependent nuclease,WP_045889052.1
BHE81_RS13020,hypothetical protein,WP_124302410.1
BHE81_RS13025,hypothetical protein,WP_071698745.1
BHE81_RS13030,hypothetical protein,WP_045889046.1
BHE81_RS13035,hypothetical protein,WP_064840275.1
BHE81_RS13040,hypothetical protein,WP_087812862.1
BHE81_RS13045,relaxase/mobilization nuclease domain-containing protein,WP_228268713.1
BHE81_RS28745,hypothetical protein,
BHE81_RS13050,hypothetical protein,WP_023342633.1
BHE81_RS13055,LysR family transcriptional regulator,WP_002914178.1
BHE81_RS13060,flavin reductase family protein,WP_004174789.1
BHE81_RS13065,helix-turn-helix domain-containing protein,WP_085783298.1
BHE81_RS13070,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,WP_002914189.1
BHE81_RS13075,multidrug efflux RND transporter permease subunit OqxB,WP_110246654.1
BHE81_RS13080,RrF2 family transcriptional regulator,WP_000888203.1
BHE81_RS13085,LysR family transcriptional regulator,WP_002914199.1
BHE81_RS13090,agmatinase,WP_004145693.1
BHE81_RS13095,sugar phosphate isomerase/epimerase family protein,WP_004145694.1
BHE81_RS13100,isopenicillin N synthase family dioxygenase,WP_004145695.1
BHE81_RS13105,ABC transporter substrate-binding protein,WP_004151025.1
BHE81_RS13110,amino acid ABC transporter permease/ATP-binding protein,WP_023301558.1
BHE81_RS13115,class II aldolase/adducin family protein,WP_004180964.1
BHE81_RS13120,2-hydroxyacid dehydrogenase,WP_110246656.1
BHE81_RS13125,SDR family NAD(P)-dependent oxidoreductase,WP_023301556.1
BHE81_RS13130,hypothetical protein,WP_023301555.1
BHE81_RS13135,transporter substrate-binding domain-containing protein,WP_020323979.1
BHE81_RS13140,fimbrial protein,WP_004145703.1
BHE81_RS13145,molecular chaperone,WP_004145704.1
BHE81_RS13150,fimbrial protein,WP_004180974.1
BHE81_RS13155,fimbria/pilus outer membrane usher protein,WP_023301554.1
BHE81_RS13160,molecular chaperone,WP_004185341.1
BHE81_RS13165,fimbrial protein,WP_004145710.1
BHE81_RS13170,aldehyde dehydrogenase family protein,WP_004174747.1
BHE81_RS13175,sigma-54-dependent Fis family transcriptional regulator,WP_023342630.1
BHE81_RS13180,LysR family transcriptional regulator,WP_023301552.1
BHE81_RS13185,FMN-dependent NADH-azoreductase,WP_023301551.1
BHE81_RS13190,ArsR/SmtB family transcription factor,WP_002914277.1
BHE81_RS13195,rhodanese family protein,WP_023301550.1
BHE81_RS13200,lipid A hydroxylase LpxO,WP_002914281.1
BHE81_RS13205,hypothetical protein,WP_002914284.1
BHE81_RS13210,DNA-binding protein StpA,WP_023301549.1
BHE81_RS13220,L-alanine exporter AlaE,WP_002914289.1
BHE81_RS13225,DUF2002 family protein,WP_002914291.1
BHE81_RS13230,DUF883 domain-containing protein,WP_002914293.1
BHE81_RS13235,PLP-dependent aminotransferase family protein,
BHE81_RS28750,GntR family transcriptional regulator,WP_228268714.1
BHE81_RS13240,carboxymuconolactone decarboxylase family protein,WP_004151037.1
BHE81_RS13245,glutaredoxin-like protein NrdH,WP_002914320.1
BHE81_RS13250,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,WP_110246658.1
BHE81_RS13255,class 1b ribonucleoside-diphosphate reductase subunit alpha,WP_032428382.1
BHE81_RS13260,class 1b ribonucleoside-diphosphate reductase subunit beta,WP_002914327.1
BHE81_RS13265,glycine betaine/L-proline ABC transporter ATP-binding protein ProV,WP_002914328.1
BHE81_RS13270,glycine betaine/L-proline ABC transporter permease ProW,WP_004174727.1
BHE81_RS13275,glycine betaine/L-proline ABC transporter substrate-binding protein ProX,WP_002914330.1
BHE81_RS13280,AzlC family ABC transporter permease,WP_002914333.1
BHE81_RS13285,L-valine transporter subunit YgaH,WP_004174712.1
BHE81_RS13290,transcriptional repressor MprA,WP_002914337.1
BHE81_RS13295,multidrug efflux MFS transporter periplasmic adaptor subunit EmrA,WP_002914339.1
BHE81_RS13300,multidrug efflux MFS transporter permease subunit EmrB,WP_002914342.1
BHE81_RS13305,2-isopropylmalate synthase,WP_004185353.1
BHE81_RS13310,AraC family transcriptional regulator,WP_004149452.1
BHE81_RS13315,S-ribosylhomocysteine lyase,WP_002914351.1
BHE81_RS13320,glutamate--cysteine ligase,WP_023285481.1
BHE81_RS13325,YqaA family protein,WP_002914355.1
BHE81_RS13330,fructose-1-phosphate/6-phosphogluconate phosphatase,WP_004174701.1
BHE81_RS13335,BON domain-containing protein,WP_002914359.1
BHE81_RS13350,carbon storage regulator CsrA,WP_000906486.1
BHE81_RS13360,alanine--tRNA ligase,WP_002914765.1
BHE81_RS13365,recombination regulator RecX,WP_023301547.1
BHE81_RS13370,recombinase RecA,WP_002914769.1
BHE81_RS13375,nicotinamide-nucleotide amidase,WP_002914771.1
BHE81_RS13380,metal ABC transporter substrate-binding protein,WP_032424086.1
BHE81_RS13385,metal ABC transporter permease,WP_002914775.1
BHE81_RS13390,metal ABC transporter ATP-binding protein,WP_015958867.1
BHE81_RS13400,lytic murein transglycosylase B,WP_023342628.1
BHE81_RS13405,PTS glucitol/sorbitol transporter subunit IIC,WP_023342627.1
BHE81_RS13410,PTS glucitol/sorbitol transporter subunit IIB,WP_004149462.1
BHE81_RS13415,PTS glucitol/sorbitol transporter subunit IIA,WP_004174693.1
BHE81_RS13420,sorbitol-6-phosphate dehydrogenase,WP_023342626.1
BHE81_RS13425,transcriptional regulator GutM,WP_004145754.1
BHE81_RS13430,glucitol operon DNA-binding transcriptional repressor SrlR,WP_002914817.1
BHE81_RS13435,arabinose-5-phosphate isomerase GutQ,WP_023342625.1
BHE81_RS13440,nitric oxide reductase transcriptional regulator NorR,WP_023342624.1
BHE81_RS13450,anaerobic nitric oxide reductase flavorubredoxin,WP_004145759.1
BHE81_RS13455,NADH:flavorubredoxin reductase NorW,WP_110246440.1
BHE81_RS13460,HoxN/HupN/NixA family nickel/cobalt transporter,WP_023342623.1
BHE81_RS13465,carbamoyltransferase HypF,WP_228268715.1
BHE81_RS28755,acylphosphatase,WP_228268716.1
BHE81_RS13470,electron transport protein HydN,WP_002914875.1
BHE81_RS13475,LacI family DNA-binding transcriptional regulator,WP_004174685.1
BHE81_RS13480,PTS cellobiose/arbutin/salicin transporter subunit IIBC,WP_002914879.1
BHE81_RS13485,6-phospho-beta-glucosidase,WP_004181034.1
BHE81_RS13490,SymE family type I addiction module toxin,WP_002914883.1
BHE81_RS13495,hydrogenase maturation peptidase HycI,WP_004174683.1
BHE81_RS13500,formate hydrogenlyase maturation HycH family protein,WP_002914887.1
BHE81_RS13505,NADH-quinone oxidoreductase subunit B family protein,WP_002914891.1
BHE81_RS13510,formate hydrogenlyase complex iron-sulfur subunit,WP_002914893.1
BHE81_RS13515,formate hydrogenlyase subunit HycE,WP_004151044.1
BHE81_RS13520,respiratory chain complex I subunit 1 family protein,WP_004149485.1
BHE81_RS13525,formate hydrogenlyase subunit 3,WP_004890213.1
BHE81_RS13530,4Fe-4S dicluster domain-containing protein,WP_004151047.1
BHE81_RS13540,formate hydrogenlyase regulator HycA,WP_002914925.1
BHE81_RS13545,hydrogenase maturation nickel metallochaperone HypA,WP_004145778.1
BHE81_RS13550,hydrogenase nickel incorporation protein HypB,WP_004181043.1
BHE81_RS13555,HypC/HybG/HupF family hydrogenase formation chaperone,WP_002914934.1
BHE81_RS13560,hydrogenase formation protein HypD,WP_023286815.1
BHE81_RS13565,hydrogenase expression/formation protein HypE,WP_023301541.1
BHE81_RS13570,formate hydrogenlyase transcriptional activator FlhA,WP_004185384.1
BHE81_RS13575,glycoside hydrolase family 1 protein,WP_023301539.1
BHE81_RS13580,CBM35 domain-containing protein,WP_023301538.1
BHE81_RS13585,maltoporin,WP_002914972.1
BHE81_RS13595,PTS sugar transporter subunit IIC,WP_024622941.1
BHE81_RS13600,PTS sugar transporter subunit IIB,WP_002914979.1
BHE81_RS13605,PTS cellobiose transporter subunit IIC,WP_002914981.1
BHE81_RS13610,PTS lactose/cellobiose transporter subunit IIA,WP_002914983.1
BHE81_RS13615,ROK family protein,WP_023301535.1
BHE81_RS13620,LacI family DNA-binding transcriptional regulator,WP_002915031.1
BHE81_RS13625,metal ABC transporter substrate-binding protein,WP_004185390.1
BHE81_RS13630,manganese/iron ABC transporter ATP-binding protein,WP_023301534.1
BHE81_RS13635,iron/manganese ABC transporter permease subunit SitC,WP_004145794.1
BHE81_RS13640,metal ABC transporter permease,WP_004181059.1
BHE81_RS13645,nitrous oxide-stimulated promoter family protein,WP_023301532.1
BHE81_RS13650,LysR family transcriptional regulator,WP_004181063.1
BHE81_RS13655,AEC family transporter,WP_002915041.1
BHE81_RS13660,thiamine pyrophosphate-requiring protein,WP_023301531.1
BHE81_RS13665,SelT/SelW/SelH family protein,WP_004174667.1
BHE81_RS13670,TonB-dependent receptor domain-containing protein,WP_023301530.1
BHE81_RS13675,hemin-degrading factor,WP_110246442.1
BHE81_RS13680,heme/hemin ABC transporter substrate-binding protein,WP_004181072.1
BHE81_RS13685,FecCD family ABC transporter permease,WP_004185411.1
BHE81_RS13690,heme ABC transporter ATP-binding protein,WP_004149516.1
BHE81_RS13695,Hcp family type VI secretion system effector,WP_110246443.1
BHE81_RS13700,STM2901 family protein,WP_004188736.1
BHE81_RS13705,DUF1493 family protein,WP_008806210.1
BHE81_RS28760,DNA mismatch repair protein MutS,WP_228268717.1
BHE81_RS28765,DNA mismatch repair protein MutS,WP_228268718.1
BHE81_RS13715,Hok/Gef family protein,WP_002915097.1
BHE81_RS13725,non-oxidative hydroxyarylic acid decarboxylases subunit D,WP_002915098.1
BHE81_RS13730,non-oxidative hydroxyarylic acid decarboxylases subunit C,WP_004151060.1
BHE81_RS13735,non-oxidative hydroxyarylic acid decarboxylases subunit B,WP_002915099.1
BHE81_RS13740,MarR family winged helix-turn-helix transcriptional regulator,WP_002915102.1
BHE81_RS13745,LysR family transcriptional regulator,WP_004142744.1
BHE81_RS13750,MFS transporter,WP_004174649.1
BHE81_RS13755,hypothetical protein,WP_002915104.1
BHE81_RS13760,RNA polymerase sigma factor RpoS,WP_002915106.1
BHE81_RS13765,murein hydrolase activator NlpD,WP_004149542.1
BHE81_RS13770,protein-L-isoaspartate(D-aspartate) O-methyltransferase,WP_002915108.1
BHE81_RS13775,5'/3'-nucleotidase SurE,WP_004142750.1
BHE81_RS13780,tRNA pseudouridine(13) synthase TruD,WP_009485533.1
BHE81_RS13785,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,WP_004181093.1
BHE81_RS13790,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,WP_009485534.1
BHE81_RS13795,cell division protein FtsB,WP_002915156.1
BHE81_RS13800,DUF3561 family protein,WP_002915157.1
BHE81_RS13805,adenylyl-sulfate kinase,WP_002915158.1
BHE81_RS13810,sulfate adenylyltransferase subunit CysN,WP_004181094.1
BHE81_RS13815,sulfate adenylyltransferase subunit CysD,WP_002915160.1
BHE81_RS13820,siroheme synthase CysG,WP_004217556.1
BHE81_RS13825,aminopeptidase,WP_004174643.1
BHE81_RS13830,phosphoadenosine phosphosulfate reductase,WP_002915177.1
BHE81_RS13835,assimilatory sulfite reductase (NADPH) hemoprotein subunit,WP_021440639.1
BHE81_RS13840,NADPH-dependent assimilatory sulfite reductase flavoprotein subunit,WP_004174642.1
BHE81_RS13845,6-carboxytetrahydropterin synthase QueD,WP_004174641.1
BHE81_RS13850,7-carboxy-7-deazaguanine synthase QueE,WP_021440641.1
BHE81_RS13855,SDR family oxidoreductase,WP_021440642.1
BHE81_RS13860,phosphopyruvate hydratase,WP_002915213.1
BHE81_RS13865,glutamine hydrolyzing CTP synthase,WP_004142808.1
BHE81_RS13870,nucleoside triphosphate pyrophosphohydrolase,WP_002915215.1
BHE81_RS13875,GTP diphosphokinase,WP_002915217.1
BHE81_RS13880,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,WP_023301525.1
BHE81_RS13885,two-component sensor histidine kinase BarA,WP_004151066.1
BHE81_RS13895,glycerate kinase,WP_002915222.1
BHE81_RS13900,glucarate dehydratase,WP_002915223.1
BHE81_RS13905,enolase C-terminal domain-like protein,WP_002915224.1
BHE81_RS13910,MFS transporter,WP_002915225.1
BHE81_RS13915,flavodoxin,WP_002915235.1
BHE81_RS13920,tRNA pseudouridine(65) synthase TruC,WP_002915236.1
BHE81_RS13925,YqcC family protein,WP_110246446.1
BHE81_RS13930,SecY-interacting protein,WP_002915253.1
BHE81_RS13935,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,WP_004174633.1
BHE81_RS13940,nucleotide 5'-monophosphate nucleosidase PpnN,WP_002915258.1
BHE81_RS13945,HAAAP family serine/threonine permease,WP_004151070.1
BHE81_RS13950,L-serine ammonia-lyase,WP_002915259.1
BHE81_RS13955,aliphatic sulfonate ABC transporter substrate-binding protein,WP_002915261.1
BHE81_RS13960,acyl-CoA dehydrogenase family protein,WP_002915263.1
BHE81_RS13965,MFS transporter,WP_004151071.1
BHE81_RS13975,MetQ/NlpA family ABC transporter substrate-binding protein,WP_002915265.1
BHE81_RS13980,methionine ABC transporter permease,WP_023285505.1
BHE81_RS13985,methionine ABC transporter ATP-binding protein,WP_023285506.1
BHE81_RS13990,LLM class flavin-dependent oxidoreductase,WP_004890067.1
BHE81_RS13995,FAD/NAD(P)-binding protein,WP_023285507.1
BHE81_RS14000,FMNH2-dependent alkanesulfonate monooxygenase,WP_023301524.1
BHE81_RS28230,hypothetical protein,WP_004219275.1
BHE81_RS14005,sigma-54-dependent Fis family transcriptional regulator,WP_004142865.1
BHE81_RS14010,flap endonuclease Xni,WP_004142871.1
BHE81_RS14015,lactaldehyde reductase,WP_004149581.1
BHE81_RS14020,L-fuculose-phosphate aldolase,WP_002915470.1
BHE81_RS14025,L-fucose:H+ symporter permease,WP_004151076.1
BHE81_RS14030,L-fucose isomerase,WP_023301522.1
BHE81_RS14035,L-fuculokinase,WP_023342619.1
BHE81_RS14040,L-fucose mutarotase,WP_002915538.1
BHE81_RS14045,L-fucose operon activator,WP_004142883.1
BHE81_RS14050,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,WP_002915541.1
BHE81_RS14055,DUF423 domain-containing protein,WP_002915543.1
BHE81_RS14060,glycine cleavage system transcriptional regulator GcvA,WP_002915545.1
BHE81_RS14065,YgdI/YgdR family lipoprotein,WP_002915549.1
BHE81_RS14070,cysteine desulfurase CsdA,WP_004174604.1
BHE81_RS14075,cysteine desulfurase sulfur acceptor subunit CsdE,WP_004142894.1
BHE81_RS14080,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA,WP_004174602.1
BHE81_RS14085,murein transglycosylase A,WP_002915579.1
BHE81_RS14095,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,WP_020802369.1
BHE81_RS14100,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase,WP_002915611.1
BHE81_RS14105,cobyric acid synthase,WP_023159325.1
BHE81_RS14110,energy-coupling factor ABC transporter ATP-binding protein,WP_002915614.1
BHE81_RS14115,energy-coupling factor ABC transporter transmembrane protein,WP_023286832.1
BHE81_RS14120,energy-coupling factor ABC transporter substrate-binding protein,WP_002915619.1
BHE81_RS14125,cobalt ECF transporter S component CbiM,WP_004143926.1
BHE81_RS14130,cobalt-factor II C(20)-methyltransferase,WP_023286833.1
BHE81_RS14135,sirohydrochlorin cobaltochelatase,WP_004174588.1
BHE81_RS14140,cobalt-precorrin-6A reductase,WP_002915627.1
BHE81_RS14145,precorrin-3B C(17)-methyltransferase,WP_004143930.1
BHE81_RS28770,cobalamin biosynthesis protein,WP_187439157.1
BHE81_RS28775,cobalt-precorrin 5A hydrolase,WP_323126093.1
BHE81_RS14155,cobalt-precorrin-4 methyltransferase,WP_004149602.1
BHE81_RS28780,cobalt-precorrin-6Y C(15)-methyltransferase,
BHE81_RS28785,precorrin-6Y C5%2C15-methyltransferase (decarboxylating) subunit CbiT,WP_219531402.1
BHE81_RS14165,cobalt-precorrin-7 (C(5))-methyltransferase,WP_004174583.1
BHE81_RS14170,cobalt-precorrin-5B (C(1))-methyltransferase CbiD,WP_023285514.1
BHE81_RS14175,cobalt-precorrin-8 methylmutase,WP_002915711.1
BHE81_RS14180,adenosylcobinamide-phosphate synthase CbiB,WP_023301520.1
BHE81_RS14185,cobyrinate a%2Cc-diamide synthase,WP_004185466.1
BHE81_RS14190,transcriptional regulator PocR,WP_004181164.1
BHE81_RS14195,propanediol diffusion facilitator PduF,WP_002915732.1
BHE81_RS14200,propanediol utilization microcompartment protein PduA,WP_002915737.1
BHE81_RS14205,propanediol utilization microcompartment protein PduB,WP_002915739.1
BHE81_RS14210,propanediol dehydratase large subunit PduC,WP_002915744.1
BHE81_RS14215,propanediol dehydratase medium subunit PduD,WP_008806302.1
BHE81_RS14220,propanediol dehydratase small subunit PduE,WP_021440661.1
BHE81_RS14225,diol dehydratase reactivase subunit alpha,WP_004174565.1
BHE81_RS14230,glycerol dehydratase reactivase beta/small subunit family protein,WP_004900279.1
BHE81_RS14235,propanediol utilization microcompartment protein PduJ,WP_002915806.1
BHE81_RS14240,BMC domain-containing protein,WP_002915808.1
BHE81_RS14245,phosphate propanoyltransferase,WP_002915810.1
BHE81_RS14250,microcompartment protein PduM,WP_023301519.1
BHE81_RS14255,EutN/CcmL family microcompartment protein,WP_021440664.1
BHE81_RS14260,two-domain cob(I)yrinic acid a%2Cc-diamide adenosyltransferase PduO,WP_004211864.1
BHE81_RS14265,CoA-acylating propionaldehyde dehydrogenase PduP,WP_021440665.1
BHE81_RS14270,1-propanol dehydrogenase PduQ,WP_021440666.1
BHE81_RS14275,4Fe-4S dicluster domain-containing protein,WP_023301518.1
BHE81_RS14280,propanediol utilization microcompartment protein PduT,WP_004181171.1
BHE81_RS14285,propanediol utilization microcompartment protein PduU,WP_002915850.1
BHE81_RS14290,propanediol utilization protein PduV,WP_004185483.1
BHE81_RS14295,acetate/propionate family kinase,WP_004185484.1
BHE81_RS14300,L-threonine kinase,WP_032410170.1
BHE81_RS14305,threonine-phosphate decarboxylase CobD,WP_023285521.1
BHE81_RS14310,N-acetylmuramoyl-L-alanine amidase AmiC,WP_149888808.1
BHE81_RS14315,amino-acid N-acetyltransferase,WP_004149616.1
BHE81_RS14320,hypothetical protein,WP_009485668.1
BHE81_RS14325,exodeoxyribonuclease V subunit alpha,WP_004900323.1
BHE81_RS14330,exodeoxyribonuclease V subunit beta,WP_023301516.1
BHE81_RS14335,pitrilysin,WP_023301515.1
BHE81_RS14340,exodeoxyribonuclease V subunit gamma,WP_004211885.1
BHE81_RS14345,prepilin-type N-terminal cleavage/methylation domain-containing protein,WP_021440672.1
BHE81_RS14350,DUF2509 family protein,WP_004181182.1
BHE81_RS14355,prepilin peptidase-dependent protein,WP_021440673.1
BHE81_RS14360,prepilin peptidase-dependent protein,WP_002915932.1
BHE81_RS14365,thymidylate synthase,WP_002915933.1
BHE81_RS14370,prolipoprotein diacylglyceryl transferase,WP_002915934.1
BHE81_RS14375,phosphoenolpyruvate--protein phosphotransferase,WP_002915935.1
BHE81_RS14380,RNA pyrophosphohydrolase,WP_002915936.1
