gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference,log2fc
BHE81_RS20270,gene_0551,K20551,ko01230,M2551,,catabolic enzyme,NO,-2.232862669618142
BHE81_RS20325,gene_0552,K20552,ko01200,M2552,,catabolic enzyme,NO,-2.2260546266451167
BHE81_RS20385,gene_0553,K20553,ko01200,M2553,,catabolic enzyme,NO,-1.8359090815933063
BHE81_RS20530,gene_0554,K20554,ko00020,M2554,,biosynthesis protein,NO,-1.911020954284854
BHE81_RS20545,gene_0555,K20555,ko00020,M2555,,biosynthesis protein,NO,-1.190794805076537
BHE81_RS20610,gene_0556,K20556,ko00190,M2556,,stress response regulator,NO,1.1488683314005457
BHE81_RS20615,gene_0557,K20557,ko00520,M2557,,precursor synthesis,NO,1.4416818593393508
BHE81_RS20625,gene_0558,K20558,ko01200,M2558,,biosynthesis protein,NO,-4.591089284931807
BHE81_RS20630,gene_0559,K20559,ko00020,M2559,,biosynthesis protein,NO,-3.137121222722393
BHE81_RS20635,gene_0560,K20560,ko01230,M2560,,metabolic enzyme,NO,-2.944093814900953
BHE81_RS20655,gene_0561,K20561,ko01230,M2561,,catabolic enzyme,NO,-1.75370588592364
BHE81_RS20730,gene_0562,K20562,ko01200,M2562,,catabolic enzyme,NO,-2.487691350452046
BHE81_RS20735,gene_0563,K20563,ko01200,M2563,,metabolic enzyme,NO,-3.3456931101841803
BHE81_RS20765,gene_0564,K20564,ko02020,M2564,,DNA repair enzyme,NO,1.911831369441664
BHE81_RS20780,gene_0565,K20565,ko00020,M2565,,catabolic enzyme,NO,-3.62570144543616
BHE81_RS20825,gene_0566,K20566,ko03410,M2566,,stress response regulator,NO,3.727535038556078
BHE81_RS20830,gene_0567,K20567,ko00190,M2567,,oxidative stress protein,NO,3.660649642469632
BHE81_RS20835,gene_0568,K20568,ko02020,M2568,,DNA repair enzyme,NO,3.8957677090882346
BHE81_RS20840,gene_0569,K20569,ko02020,M2569,,stress response regulator,NO,5.190979066927426
BHE81_RS20845,gene_0570,K20570,ko00190,M2570,,DNA repair enzyme,NO,4.141663867647974
BHE81_RS20985,gene_0571,K20571,ko00190,M2571,,oxidative stress protein,NO,2.1410762387529183
BHE81_RS21030,gene_0572,K20572,ko02020,M2572,,stress response regulator,NO,2.107444168668047
BHE81_RS21050,gene_0573,K20573,ko00190,M2573,,oxidative stress protein,NO,2.017318166414766
BHE81_RS21060,gene_0574,K20574,ko03410,M2574,,oxidative stress protein,NO,3.336217457234794
BHE81_RS21095,gene_0575,K20575,ko01230,M2575,,catabolic enzyme,NO,-1.2462022583512766
BHE81_RS21100,gene_0576,K20576,ko00920,M2576,,membrane transporter,NO,-1.4123899608197794
BHE81_RS21105,gene_0577,K20577,ko01230,M2577,,catabolic enzyme,NO,-1.624135385867716
BHE81_RS21110,gene_0578,K20578,ko03410,M2578,,DNA repair enzyme,NO,4.403228133080969
BHE81_RS21200,gene_0579,K20579,ko00190,M2579,,DNA repair enzyme,NO,2.532798218824368
BHE81_RS21290,gene_0580,K20580,ko02020,M2580,,oxidative stress protein,NO,3.9113404574653936
BHE81_RS21315,gene_0581,K20581,ko00920,M2581,,membrane transporter,NO,-1.2144252921043748
BHE81_RS21320,gene_0582,K20582,ko01200,M2582,,biosynthesis protein,NO,-2.196477611172051
BHE81_RS21330,gene_0583,K20583,ko00190,M2583,,DNA repair enzyme,NO,2.267800358302514
BHE81_RS21425,gene_0584,K20584,ko01060,M2584,,precursor synthesis,NO,1.355084422051268
BHE81_RS21440,gene_0585,K20585,ko03410,M2585,,oxidative stress protein,NO,2.1461993010551983
BHE81_RS21490,gene_0586,K20586,ko00020,M2586,,metabolic enzyme,NO,-1.2398505496867616
BHE81_RS21500,gene_0587,K20587,ko02020,M2587,,oxidative stress protein,NO,2.684066823482326
BHE81_RS21520,gene_0588,K20588,ko00190,M2588,,stress response regulator,NO,2.7212128316254227
BHE81_RS21540,gene_0589,K20589,ko01230,M2589,,catabolic enzyme,NO,-1.3279804403344844
BHE81_RS21570,gene_0590,K20590,ko00020,M2590,,biosynthesis protein,NO,-2.072797766673865
BHE81_RS21575,gene_0591,K20591,ko00920,M2591,,membrane transporter,NO,-1.2548811429307036
BHE81_RS21595,gene_0592,K20592,ko00020,M2592,,metabolic enzyme,NO,-4.058308411257627
BHE81_RS21635,gene_0593,K20593,ko01230,M2593,,metabolic enzyme,NO,-3.786631875398149
BHE81_RS21640,gene_0594,K20594,ko01230,M2594,,metabolic enzyme,NO,-1.132885834137893
BHE81_RS21645,gene_0595,K20595,ko02010,M2595,,ion channel,NO,1.4691771790911368
BHE81_RS21705,gene_0596,K20596,ko00020,M2596,,catabolic enzyme,NO,-2.448155566769567
BHE81_RS21720,gene_0597,K20597,ko00020,M2597,,metabolic enzyme,NO,-2.7294106655748567
BHE81_RS21875,gene_0598,K20598,ko00020,M2598,,metabolic enzyme,NO,-3.1212850318059524
BHE81_RS21880,gene_0599,K20599,ko00020,M2599,,catabolic enzyme,NO,-4.937882351490032
BHE81_RS21885,gene_0600,K20600,ko00020,M2600,,metabolic enzyme,NO,-2.8049571354670344
BHE81_RS22015,gene_0601,K20601,ko02020,M2601,,DNA repair enzyme,NO,2.099664083180166
BHE81_RS22090,gene_0602,K20602,ko02020,M2602,,oxidative stress protein,NO,2.3128935444424807
BHE81_RS22095,gene_0603,K20603,ko00190,M2603,,DNA repair enzyme,NO,2.7390693371080395
BHE81_RS22105,gene_0604,K20604,ko02020,M2604,,DNA repair enzyme,NO,3.6290144630073735
BHE81_RS22170,gene_0605,K20605,ko03410,M2605,,DNA repair enzyme,NO,4.564374755360036
BHE81_RS22240,gene_0606,K20606,ko00020,M2606,,biosynthesis protein,NO,-1.4982623992435489
BHE81_RS22245,gene_0607,K20607,ko02010,M2607,,ion channel,NO,-1.5158158696695534
BHE81_RS22435,gene_0608,K20608,ko01200,M2608,,metabolic enzyme,NO,-4.324833750909079
BHE81_RS22555,gene_0609,K20609,ko00020,M2609,,metabolic enzyme,NO,-1.3361868965623418
BHE81_RS22560,gene_0610,K20610,ko00190,M2610,,DNA repair enzyme,NO,3.0833766156433238
BHE81_RS22600,gene_0611,K20611,ko01200,M2611,,catabolic enzyme,NO,-2.314814881166261
BHE81_RS22795,gene_0612,K20612,ko02020,M2612,,oxidative stress protein,NO,2.921435474785263
BHE81_RS22835,gene_0613,K20613,ko00190,M2613,,DNA repair enzyme,NO,1.7385004382359963
BHE81_RS22840,gene_0614,K20614,ko01060,M2614,,biosynthetic enzyme,NO,1.6952601306494166
BHE81_RS22845,gene_0615,K20615,ko02020,M2615,,oxidative stress protein,NO,1.9037409480619136
BHE81_RS22850,gene_0616,K20616,ko02010,M2616,,ABC transporter,NO,1.299374264997576
BHE81_RS22855,gene_0617,K20617,ko01060,M2617,,biosynthetic enzyme,NO,1.786272047257316
BHE81_RS22930,gene_0618,K20618,ko01200,M2618,,biosynthesis protein,NO,-1.5368904329856117
BHE81_RS22935,gene_0619,K20619,ko01200,M2619,,catabolic enzyme,NO,-1.7044485306327548
BHE81_RS22980,gene_0620,K20620,ko00920,M2620,,membrane transporter,NO,1.4280789712435489
BHE81_RS23080,gene_0621,K20621,ko01200,M2621,,biosynthesis protein,NO,-1.3033631791544689
BHE81_RS23085,gene_0622,K20622,ko01200,M2622,,biosynthesis protein,NO,-1.0970756556717518
BHE81_RS23090,gene_0623,K20623,ko01200,M2623,,catabolic enzyme,NO,-1.2929759788868913
BHE81_RS23125,gene_0624,K20624,ko01230,M2624,,biosynthesis protein,NO,-2.523790154743339
BHE81_RS23130,gene_0625,K20625,ko00020,M2625,,metabolic enzyme,NO,-2.8908746576301843
BHE81_RS23155,gene_0626,K20626,ko00920,M2626,,ABC transporter,NO,-1.5529995076957968
BHE81_RS23200,gene_0627,K20627,ko02010,M2627,,ABC transporter,NO,1.7847395646362438
BHE81_RS23210,gene_0628,K20628,ko00190,M2628,,DNA repair enzyme,NO,1.1106896253199638
BHE81_RS23215,gene_0629,K20629,ko03410,M2629,,oxidative stress protein,NO,1.3215383886252687
BHE81_RS23220,gene_0630,K20630,ko00190,M2630,,stress response regulator,NO,2.053832928188572
BHE81_RS23235,gene_0631,K20631,ko00920,M2631,,ABC transporter,NO,-1.39470244688873
BHE81_RS23250,gene_0632,K20632,ko00520,M2632,,polymerization enzyme,NO,1.4433885908045878
BHE81_RS23290,gene_0633,K20633,ko00020,M2633,,catabolic enzyme,NO,-1.9951812374602271
BHE81_RS23310,gene_0634,K20634,ko00920,M2634,,ion channel,NO,-1.6189739521431563
BHE81_RS23315,gene_0635,K20635,ko01200,M2635,,biosynthesis protein,NO,-3.359294483134951
BHE81_RS23320,gene_0636,K20636,ko01230,M2636,,metabolic enzyme,NO,-3.621276225592228
BHE81_RS23325,gene_0637,K20637,ko01230,M2637,,catabolic enzyme,NO,-1.6616654990694153
BHE81_RS23450,gene_0638,K20638,ko00920,M2638,,membrane transporter,NO,-1.6590187184162537
BHE81_RS23490,gene_0639,K20639,ko00920,M2639,,ion channel,NO,1.2763130893260393
BHE81_RS23650,gene_0640,K20640,ko00920,M2640,,membrane transporter,NO,1.3200707368153186
BHE81_RS23685,gene_0641,K20641,ko02010,M2641,,ion channel,NO,-1.1428854648472655
BHE81_RS23760,gene_0642,K20642,ko02010,M2642,,ion channel,NO,1.1979263619465987
BHE81_RS23765,gene_0643,K20643,ko02010,M2643,,ABC transporter,NO,1.2511644410414489
BHE81_RS23815,gene_0644,K20644,ko03410,M2644,,stress response regulator,NO,2.6244048991946585
BHE81_RS23910,gene_0645,K20645,ko01200,M2645,,biosynthesis protein,NO,-5.172781679180046
BHE81_RS23915,gene_0646,K20646,ko01230,M2646,,biosynthesis protein,NO,-2.107962557291638
BHE81_RS23920,gene_0647,K20647,ko02010,M2647,,ion channel,NO,-1.8269114229687264
BHE81_RS24000,gene_0648,K20648,ko01230,M2648,,metabolic enzyme,NO,-2.729919766431123
BHE81_RS24005,gene_0649,K20649,ko01200,M2649,,catabolic enzyme,NO,-1.935487442659234
BHE81_RS24080,gene_0650,K20650,ko02010,M2650,,ion channel,NO,-1.5919831182883653
BHE81_RS24165,gene_0651,K20651,ko00020,M2651,,biosynthesis protein,NO,-1.3750201862635327
BHE81_RS24205,gene_0652,K20652,ko03410,M2652,,oxidative stress protein,NO,2.7634701463730176
BHE81_RS24415,gene_0653,K20653,ko00020,M2653,,metabolic enzyme,NO,-1.6043244163038846
BHE81_RS24440,gene_0654,K20654,ko02020,M2654,,oxidative stress protein,NO,2.4767430979077645
BHE81_RS24460,gene_0655,K20655,ko01200,M2655,,biosynthesis protein,NO,-4.219171695275744
BHE81_RS24500,gene_0656,K20656,ko01200,M2656,,metabolic enzyme,NO,-1.6318595360342862
BHE81_RS24505,gene_0657,K20657,ko02020,M2657,,oxidative stress protein,NO,2.351194067376867
BHE81_RS24585,gene_0658,K20658,ko01230,M2658,,metabolic enzyme,NO,-1.4512024600916031
BHE81_RS24625,gene_0659,K20659,ko00190,M2659,,oxidative stress protein,NO,2.6435089643950733
BHE81_RS24655,gene_0660,K20660,ko02020,M2660,,oxidative stress protein,NO,3.793955157870641
BHE81_RS24690,gene_0661,K20661,ko01230,M2661,,biosynthesis protein,NO,-1.693261446900736
BHE81_RS24695,gene_0662,K20662,ko01230,M2662,,catabolic enzyme,NO,-1.3478030911580068
BHE81_RS24805,gene_0663,K20663,ko00020,M2663,,biosynthesis protein,NO,-4.000863643584473
BHE81_RS24810,gene_0664,K20664,ko01200,M2664,,catabolic enzyme,NO,-4.330618217137657
BHE81_RS24815,gene_0665,K20665,ko01230,M2665,,metabolic enzyme,NO,-4.149052074632291
BHE81_RS24820,gene_0666,K20666,ko01200,M2666,,catabolic enzyme,NO,-4.4125311757232994
BHE81_RS24825,gene_0667,K20667,ko02010,M2667,,ion channel,NO,-1.4343507413782246
BHE81_RS24830,gene_0668,K20668,ko00020,M2668,,biosynthesis protein,NO,-2.6118971958828454
BHE81_RS24840,gene_0669,K20669,ko00920,M2669,,membrane transporter,NO,1.58518694018115
BHE81_RS24865,gene_0670,K20670,ko01200,M2670,,metabolic enzyme,NO,-1.2864777690647664
BHE81_RS24885,gene_0671,K20671,ko00190,M2671,,stress response regulator,NO,1.0238486956546633
BHE81_RS24890,gene_0672,K20672,ko01060,M2672,,precursor synthesis,NO,1.138777553254358
BHE81_RS24945,gene_0673,K20673,ko02010,M2673,,membrane transporter,NO,-1.780386365253876
BHE81_RS24955,gene_0674,K20674,ko00920,M2674,,ion channel,NO,-1.8840106749926897
BHE81_RS25045,gene_0675,K20675,ko02010,M2675,,ion channel,NO,1.97953967260702
BHE81_RS25090,gene_0676,K20676,ko03410,M2676,,oxidative stress protein,NO,2.445725224265632
BHE81_RS25200,gene_0677,K20677,ko02020,M2677,,DNA repair enzyme,NO,1.4023259121230052
BHE81_RS25210,gene_0678,K20678,ko00020,M2678,,metabolic enzyme,NO,-3.7025522458967743
BHE81_RS25230,gene_0679,K20679,ko01200,M2679,,biosynthesis protein,NO,-2.284737357671794
BHE81_RS25265,gene_0680,K20680,ko01230,M2680,,metabolic enzyme,NO,-4.806842548351968
BHE81_RS25270,gene_0681,K20681,ko01230,M2681,,biosynthesis protein,NO,-4.832748366012162
BHE81_RS25295,gene_0682,K20682,ko03410,M2682,,DNA repair enzyme,NO,1.293200149734285
