gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference
BHE81_RS21110,gene_578,K99991,"ko02020,ko03410,ko00190",M2578,,Stress response protein,NO
BHE81_RS21200,gene_579,K99991,"ko02020,ko03410,ko00190",M2579,,Stress response protein,NO
BHE81_RS21290,gene_580,K99991,"ko02020,ko03410,ko00190",M2580,,Stress response protein,NO
BHE81_RS21315,gene_581,K99992,"ko02010,ko01200",M2581,,Metabolic protein,NO
BHE81_RS21320,gene_582,K99992,"ko02010,ko01200",M2582,,Metabolic protein,NO
BHE81_RS21330,gene_583,K99991,"ko02020,ko03410,ko00190",M2583,,Stress response protein,NO
BHE81_RS21425,gene_584,K99991,"ko02020,ko03410,ko00190",M2584,,Stress response protein,NO
BHE81_RS21440,gene_585,K99991,"ko02020,ko03410,ko00190",M2585,,Stress response protein,NO
BHE81_RS21490,gene_586,K99992,"ko02010,ko01200",M2586,,Metabolic protein,NO
BHE81_RS21500,gene_587,K99991,"ko02020,ko03410,ko00190",M2587,,Stress response protein,NO
BHE81_RS21520,gene_588,K99991,"ko02020,ko03410,ko00190",M2588,,Stress response protein,NO
BHE81_RS21540,gene_589,K99992,"ko02010,ko01200",M2589,,Metabolic protein,NO
BHE81_RS21570,gene_590,K99992,"ko02010,ko01200",M2590,,Metabolic protein,NO
BHE81_RS21575,gene_591,K99992,"ko02010,ko01200",M2591,,Metabolic protein,NO
BHE81_RS21595,gene_592,K99992,"ko02010,ko01200",M2592,,Metabolic protein,NO
BHE81_RS21635,gene_593,K99992,"ko02010,ko01200",M2593,,Metabolic protein,NO
BHE81_RS21640,gene_594,K99992,"ko02010,ko01200",M2594,,Metabolic protein,NO
BHE81_RS21645,gene_595,K99991,"ko02020,ko03410,ko00190",M2595,,Stress response protein,NO
BHE81_RS21705,gene_596,K99992,"ko02010,ko01200",M2596,,Metabolic protein,NO
BHE81_RS21720,gene_597,K99992,"ko02010,ko01200",M2597,,Metabolic protein,NO
BHE81_RS21875,gene_598,K99992,"ko02010,ko01200",M2598,,Metabolic protein,NO
BHE81_RS21880,gene_599,K99992,"ko02010,ko01200",M2599,,Metabolic protein,NO
BHE81_RS21885,gene_600,K99992,"ko02010,ko01200",M2600,,Metabolic protein,NO
BHE81_RS22015,gene_601,K99991,"ko02020,ko03410,ko00190",M2601,,Stress response protein,NO
BHE81_RS22090,gene_602,K99991,"ko02020,ko03410,ko00190",M2602,,Stress response protein,NO
BHE81_RS22095,gene_603,K99991,"ko02020,ko03410,ko00190",M2603,,Stress response protein,NO
BHE81_RS22105,gene_604,K99991,"ko02020,ko03410,ko00190",M2604,,Stress response protein,NO
BHE81_RS22170,gene_605,K99991,"ko02020,ko03410,ko00190",M2605,,Stress response protein,NO
BHE81_RS22240,gene_606,K99992,"ko02010,ko01200",M2606,,Metabolic protein,NO
BHE81_RS22245,gene_607,K99992,"ko02010,ko01200",M2607,,Metabolic protein,NO
BHE81_RS22435,gene_608,K99992,"ko02010,ko01200",M2608,,Metabolic protein,NO
BHE81_RS22555,gene_609,K99992,"ko02010,ko01200",M2609,,Metabolic protein,NO
BHE81_RS22560,gene_610,K99991,"ko02020,ko03410,ko00190",M2610,,Stress response protein,NO
BHE81_RS22600,gene_611,K99992,"ko02010,ko01200",M2611,,Metabolic protein,NO
BHE81_RS22795,gene_612,K99991,"ko02020,ko03410,ko00190",M2612,,Stress response protein,NO
BHE81_RS22835,gene_613,K99991,"ko02020,ko03410,ko00190",M2613,,Stress response protein,NO
BHE81_RS22840,gene_614,K99991,"ko02020,ko03410,ko00190",M2614,,Stress response protein,NO
BHE81_RS22845,gene_615,K99991,"ko02020,ko03410,ko00190",M2615,,Stress response protein,NO
BHE81_RS22850,gene_616,K99991,"ko02020,ko03410,ko00190",M2616,,Stress response protein,NO
BHE81_RS22855,gene_617,K99991,"ko02020,ko03410,ko00190",M2617,,Stress response protein,NO
BHE81_RS22930,gene_618,K99992,"ko02010,ko01200",M2618,,Metabolic protein,NO
BHE81_RS22935,gene_619,K99992,"ko02010,ko01200",M2619,,Metabolic protein,NO
BHE81_RS22980,gene_620,K99991,"ko02020,ko03410,ko00190",M2620,,Stress response protein,NO
BHE81_RS23080,gene_621,K99992,"ko02010,ko01200",M2621,,Metabolic protein,NO
BHE81_RS23085,gene_622,K99992,"ko02010,ko01200",M2622,,Metabolic protein,NO
BHE81_RS23090,gene_623,K99992,"ko02010,ko01200",M2623,,Metabolic protein,NO
BHE81_RS23125,gene_624,K99992,"ko02010,ko01200",M2624,,Metabolic protein,NO
BHE81_RS23130,gene_625,K99992,"ko02010,ko01200",M2625,,Metabolic protein,NO
BHE81_RS23155,gene_626,K99992,"ko02010,ko01200",M2626,,Metabolic protein,NO
BHE81_RS23200,gene_627,K99991,"ko02020,ko03410,ko00190",M2627,,Stress response protein,NO
BHE81_RS23210,gene_628,K99991,"ko02020,ko03410,ko00190",M2628,,Stress response protein,NO
BHE81_RS23215,gene_629,K99991,"ko02020,ko03410,ko00190",M2629,,Stress response protein,NO
BHE81_RS23220,gene_630,K99991,"ko02020,ko03410,ko00190",M2630,,Stress response protein,NO
BHE81_RS23235,gene_631,K99992,"ko02010,ko01200",M2631,,Metabolic protein,NO
BHE81_RS23250,gene_632,K99991,"ko02020,ko03410,ko00190",M2632,,Stress response protein,NO
BHE81_RS23290,gene_633,K99992,"ko02010,ko01200",M2633,,Metabolic protein,NO
BHE81_RS23310,gene_634,K99992,"ko02010,ko01200",M2634,,Metabolic protein,NO
BHE81_RS23315,gene_635,K99992,"ko02010,ko01200",M2635,,Metabolic protein,NO
BHE81_RS23320,gene_636,K99992,"ko02010,ko01200",M2636,,Metabolic protein,NO
BHE81_RS23325,gene_637,K99992,"ko02010,ko01200",M2637,,Metabolic protein,NO
BHE81_RS23450,gene_638,K99992,"ko02010,ko01200",M2638,,Metabolic protein,NO
BHE81_RS23490,gene_639,K99991,"ko02020,ko03410,ko00190",M2639,,Stress response protein,NO
BHE81_RS23650,gene_640,K99991,"ko02020,ko03410,ko00190",M2640,,Stress response protein,NO
BHE81_RS23685,gene_641,K99992,"ko02010,ko01200",M2641,,Metabolic protein,NO
BHE81_RS23760,gene_642,K99991,"ko02020,ko03410,ko00190",M2642,,Stress response protein,NO
BHE81_RS23765,gene_643,K99991,"ko02020,ko03410,ko00190",M2643,,Stress response protein,NO
BHE81_RS23815,gene_644,K99991,"ko02020,ko03410,ko00190",M2644,,Stress response protein,NO
BHE81_RS23910,gene_645,K99992,"ko02010,ko01200",M2645,,Metabolic protein,NO
BHE81_RS23915,gene_646,K99992,"ko02010,ko01200",M2646,,Metabolic protein,NO
BHE81_RS23920,gene_647,K99992,"ko02010,ko01200",M2647,,Metabolic protein,NO
BHE81_RS24000,gene_648,K99992,"ko02010,ko01200",M2648,,Metabolic protein,NO
BHE81_RS24005,gene_649,K99992,"ko02010,ko01200",M2649,,Metabolic protein,NO
BHE81_RS24080,gene_650,K99992,"ko02010,ko01200",M2650,,Metabolic protein,NO
BHE81_RS24165,gene_651,K99992,"ko02010,ko01200",M2651,,Metabolic protein,NO
BHE81_RS24205,gene_652,K99991,"ko02020,ko03410,ko00190",M2652,,Stress response protein,NO
BHE81_RS24415,gene_653,K99992,"ko02010,ko01200",M2653,,Metabolic protein,NO
BHE81_RS24440,gene_654,K99991,"ko02020,ko03410,ko00190",M2654,,Stress response protein,NO
BHE81_RS24460,gene_655,K99992,"ko02010,ko01200",M2655,,Metabolic protein,NO
BHE81_RS24500,gene_656,K99992,"ko02010,ko01200",M2656,,Metabolic protein,NO
BHE81_RS24505,gene_657,K99991,"ko02020,ko03410,ko00190",M2657,,Stress response protein,NO
BHE81_RS24585,gene_658,K99992,"ko02010,ko01200",M2658,,Metabolic protein,NO
BHE81_RS24625,gene_659,K99991,"ko02020,ko03410,ko00190",M2659,,Stress response protein,NO
BHE81_RS24655,gene_660,K99991,"ko02020,ko03410,ko00190",M2660,,Stress response protein,NO
BHE81_RS24690,gene_661,K99992,"ko02010,ko01200",M2661,,Metabolic protein,NO
BHE81_RS24695,gene_662,K99992,"ko02010,ko01200",M2662,,Metabolic protein,NO
BHE81_RS24805,gene_663,K99992,"ko02010,ko01200",M2663,,Metabolic protein,NO
BHE81_RS24810,gene_664,K99992,"ko02010,ko01200",M2664,,Metabolic protein,NO
BHE81_RS24815,gene_665,K99992,"ko02010,ko01200",M2665,,Metabolic protein,NO
BHE81_RS24820,gene_666,K99992,"ko02010,ko01200",M2666,,Metabolic protein,NO
BHE81_RS24825,gene_667,K99992,"ko02010,ko01200",M2667,,Metabolic protein,NO
BHE81_RS24830,gene_668,K99992,"ko02010,ko01200",M2668,,Metabolic protein,NO
BHE81_RS24840,gene_669,K99991,"ko02020,ko03410,ko00190",M2669,,Stress response protein,NO
BHE81_RS24865,gene_670,K99992,"ko02010,ko01200",M2670,,Metabolic protein,NO
BHE81_RS24885,gene_671,K99991,"ko02020,ko03410,ko00190",M2671,,Stress response protein,NO
BHE81_RS24890,gene_672,K99991,"ko02020,ko03410,ko00190",M2672,,Stress response protein,NO
BHE81_RS24945,gene_673,K99992,"ko02010,ko01200",M2673,,Metabolic protein,NO
BHE81_RS24955,gene_674,K99992,"ko02010,ko01200",M2674,,Metabolic protein,NO
BHE81_RS25045,gene_675,K99991,"ko02020,ko03410,ko00190",M2675,,Stress response protein,NO
BHE81_RS25090,gene_676,K99991,"ko02020,ko03410,ko00190",M2676,,Stress response protein,NO
BHE81_RS25200,gene_677,K99991,"ko02020,ko03410,ko00190",M2677,,Stress response protein,NO
BHE81_RS25210,gene_678,K99992,"ko02010,ko01200",M2678,,Metabolic protein,NO
BHE81_RS25230,gene_679,K99992,"ko02010,ko01200",M2679,,Metabolic protein,NO
BHE81_RS25265,gene_680,K99992,"ko02010,ko01200",M2680,,Metabolic protein,NO
BHE81_RS25270,gene_681,K99992,"ko02010,ko01200",M2681,,Metabolic protein,NO
BHE81_RS25295,gene_682,K99991,"ko02020,ko03410,ko00190",M2682,,Stress response protein,NO
